,isrc
0,QMQ241200008
1,usx9p0960226
2,ushm81560228
3,ushm81586992
4,ushm81454894
5,Deae61400050
6,USZPD0610481
7,uscgh1626767
8,ushm81454895
9,USFM91300021
10,ushm21530712
11,USCGJ1890870
12,ushm81560229
13,usdy41696821
14,DEAS90500024
15,uscgj1699498
16,USHM21685992
17,uscgh1626774
18,uscgh1626775
19,uscgh1627291
20,UKCC51600001
21,QM9A91523984
22,usdy41675972
23,uscgh1630593
24,QM9A91523985
25,QM9A91523986
26,uscgh1626773
27,uscgh1637472
28,CAU8C1500001
29,ushm81454896
30,ushm81454897
31,ushm81454898
32,ushm81484589
33,uscgh1627478
34,uscgh1620435
35,ushm21543192
36,ushm21586694
37,USQWA1291134
38,ushm91032545
39,ushm81543842
40,USHM21685993
41,USL4Q1731422
42,USHM21685994
43,USHM91610335
44,uscgh1627292
45,uscgh1620437
46,US-853-16-00710
47,USA370516282
48,USFM91300021
49,uscgh1620436
50,ushm81484590
51,ushm81560230
52,ushm21530716
53,uscgh1627293
54,usx9p0960235
55,uscgh1627300
56,USHM21685996
57,uscgh1627301
58,QM9A91523987
59,USHM21688712
60,CALM41400124
61,QM9A91523988
62,QM9A91523989
63,QZ26V1500002
64,uscgh1669991
65,usdy41646630
66,US-853-16-00704
67,uscgh1626768
68,uscgh1626769
69,usx9p1426773
70,usx9p0960228
71,uscgh0785365
72,uscgh1669992
73,US-853-16-00703
74,usdy41601727
75,US-853-16-00706
76,USHM21772648
77,USCGJ1848374
78,uscgh1669993
79,uscgh1669995
80,USCGH1732133
81,ushm21543195
82,ushm21585188
83,ushm21585194
84,ushm21585196
85,ushm81405515
86,USGY21501201
87,USHM21688710
88,uscgj1575110
89,USCGJ1848376
90,USCGJ1848377
91,ushm81563131
92,usdy41696822
93,uscgh1620438
94,QMQ241200003
95,uscgh1627294
96,uscgh1627296
97,uscgh1627298
98,USDBB0607896
99,TCABY1442644
100,uscgh1696727
101,ushm81582204
102,ushm81563132
103,ushm81560231
104,ushm21530717
105,ushm81560232
106,usx9p0960229
107,QM9A91523991
108,QM9A91523992
109,usx9p0960230
110,uscgh1626770
111,USHM91610336
112,uscgh1626771
113,USGY21501205
114,uscgh1696733
115,uscgh1696735
116,uscgh1626778
117,uscgh1626779
118,uscgh1626780
119,usx9p1426778
120,uscgh1670330
121,ushm81484591
122,ushm81484592
123,usdy41602350
124,USDY41662855
125,ushm21543201
126,USDBB0607901
127,USDBB0601000
128,USDY41662853
129,ushm81560234
130,ushm81484593
131,uscgh1627295
132,USCGH1479640
133,USBGU1000035
134,USV351397036
135,uscgj1615339
136,uscgh1656452
137,ushm81582205
138,ushm81582206
139,ushm81563134
140,ushm81560233
141,ushm21530719
142,uscgh1670327
143,uscgh1627297
144,uscgh1696734
145,uscgh1627299
146,QM9A91523993
147,USQY51541663
148,QM9A91523994
149,QM9A91523995
150,usx9p0960232
151,QM9A91523996
152,uscgh1626772
153,ushm21549290
154,ushm21549299
155,QMAAK1624161
156,ushm21549300
157,uscgj1615313
158,US-853-16-00709
159,uscgj1615314
160,uscgh1696728
161,usdy41677373
162,usdy41677376
163,usdy41646629
164,ushm81582207
165,ushm21543193
166,USB4U1250141
167,DELJ81502454
168,USA2P1235998
169,ushm81563133
170,QMAAK1624162
171,usdy41677370
172,ushm81584977
173,ushm81484594
174,uscgh1670328
175,usdy41639800
176,usdy41639797
177,ushm81484595
178,USBGU1000036
179,USBGU1000037
180,uscgh1696730
181,usdy41639801
182,ushm21530722
183,ushm81560236
184,QMAAK1732403
185,ushm81582208
186,ushm81560237
187,USQY51541665
188,usx9p0960233
189,ushm81582209
190,usx9p0960234
191,uscgj1615312
192,usdy41639793
193,uscgh1627302
194,QM9A91523997
195,QMEU31515156
196,ushm81484596
197,usdy41639803
198,uscgh1626777
199,ushm81582210
200,ushm21549291
201,ushm81584985
202,ushm81582211
203,ushm81584974
204,ushm81584983
205,ushm81582212
206,ushm81584986
207,ushm81584981
208,ushm81584975
209,usdy41639804
210,ushm81584979
211,usdy41639798
212,usdy41677374
213,ushm21543196
214,USA2P1236024
215,ushm81560235
216,usdy41677375
217,usdy41677378
218,USHM91610338
219,uscgh1696731
220,USDY41662857
221,usx9p0960225
222,ushm21045401
223,ushm81484597
224,ushm81484598
225,usx9p0960224
226,ushm81525910
227,US-DBB-09-00743
228,ushm81564639
229,usdy41639799
230,QM9A91523998
231,ushm81584976
232,ushm21045402
233,QM4QH1500010
234,ushm81525909
235,usdy41639802
236,ushm81582216
237,ushm21530727
238,ushm81484599
239,uscgh1626776
240,usx9p1426774
241,uscgh1670329
242,ushm81584978
243,  usx9p1426775
244,ushm81564640
245,ushm81584988
246,ushm81584984
247,USDY41662859
248,uscgj1615315
249,usdy41639794
250,ushm81584980
251,uscgj1615317
252,ushm81584982
253,uscgj1615318
254,ushm81584987
255,uscgh1622050
256,ushm81484600
257,QM4QH1500008
258,QM4QH1500011
259,QM4QH1500009
260,uscgh1696732
261,ushm81564638
262,ushm21549293
263,ushm21543202
264,uscgj1615296
265,uscgj1615298
266,uscgj1615302
267,usdy41677377
268,USDY41662856
269,USLZJ1757588
270,USEA21000066
271,FR0NT1000280
272,USUYG1003409
273,USQY51047687
274,ushm81484601
275,uscgj1686681
276,ushm21603909
277,GBDLM0990665
278,usdy41639795
279,USDMG0624001
280,usdy41639796
281,usx9p0960219
282,FR0NT1000280
283,USCGH0781892
284,CAN110701763
285,usdy41677379
286,ushm21600186
287,usdy41605846
288,GBAJC0003086
289,CAL451131705
290,usdy41699010
291,usdy41601778
292,USYBL1002231
293,usdy41696824
294,uscgj1667972
295,usdy41699013
296,USDMG0624001
297,USDMG0624002
298,usdy41696944
299,USDMG0624003
300,USDMG0624004
301,ushm21591605
302,USDMG0624005
303,ushm21591606
304,ushm21591607
305,ushm81525911
306,ushm81525912
307,ushm81525917
308,ushm81564641
309,ushm81564642
310,USDMG0624006
311,US-DMG-06-24007
312,USDMG0624008
313,usl4q0867402
314,uscgj1625768
315,ushm91465576
316,uscgj1615319
317,ushm81525914
318,ushm81525915
319,uscgj1615320
320,ushm81525916
321,CAYOU1500004
322,usl4q0867403
323,QM-GQ8-15-00007
324,usx9p1426776
325,QMGQ81500001
326,ushm81564645
327,ushm91036981
328,QMGQ81500004
329,De-ah1-16-00007
330,uscgh1615782
331,ushm21530728
332,CAYOU1500003
333,ushm21045403
334,QMGQ81500005
335,uscgh1670332
336,uscgj1625773
337,QMGQ81500002
338,uscgj1660389
339,uscgh1698577
340,uscgh1617685
341,USHM91625891
342,QMAAK1671192
343,ushm81564643
344,uscgj1688702
345,usdy41696835
346,uscgj1688705
347,QMAAK1624151
348,uscgj1615321
349,uscgj1615300
350,ushm21543191
351,QM6YL1400501
352,QM6YL1400506
353,ushm81405513
354,ushm81524138
355,ushm81524144
356,ushm81525913
357,USHM80473199
358,uscgh1670069
359,QMGQ81500006
360,ushm91036983
361,uscgh1629427
362,uscgh1617686
363,uscgj1615291
364,QMGQ81500003
365,uscgh1667123
366,CAYOU1500006
367,uscgh0785357
368,uscgh1615783
369,uscgh1615784
370,CA-YOU-15-00007
371,QMAAK1671188
372,ushm21045404
373,CAYOU1500008
374,uscgh1667126
375,ushm21549295
376,uscgh1617692
377,uscgh1667129
378,QM9AA1604402
379,uscgj1688704
380,uscgj1615293
381,uscgh1667131
382,uscgj1615304
383,usdy41698419
384,ushm21549296
385,uscgj1688707
386,uscgj1615306
387,uscgj1688703
388,uscgj1615274
389,usdy41696946
390,ushm21603848
391,CALM41400125
392,USHM81631223
393,USHM21088397
394,ushm81484243
395,ushm81484240
396,USDY41662860
397,USHM81450176
398,USHM81450175
399,ushm21549297
400,ushm21549298
401,USZ8J1100011
402,ushm81564644
403,ushm21543200
404,ushm81525918
405,QMAAK1624152
406,QM9A91522617
407,usdy41632868
408,usdy41697174
409,usdy41697185
410,usdy41697173
411,uscgh1630570
412,US94U0400009
413,ushm21045405
414,usdy41697183
415,CAYOU1500001
416,usdy41697181
417,GBAJE8600132
418,GBBFR0300135
419,QM9AA1618953
420,usdy41697179
421,uscgj1688706
422,usdy41697186
423,usdy41697176
424,uscgj1688710
425,QMAAK1732404
426,ushm21603746
427,usx9p1426777
428,QM9AA1618952
429,QM9AA1618951
430,USCGH1454972
431,uscgh1615785
432,uscgh1615786
433,ushm81545976
434,USHM81631224
435,USDY41605956
436,ushm81531153
437,ushm81531156
438,ushm81531159
439,ushm81531160
440,ushm81563670
441,USHM81631225
442,USDY41726866
443,QMFME1410026
444,ushm81564646
445,USDMG0624009
446,USDMG0624010
447,GBXU81330416
448,US94U0400011
449,US94U0400008
450,US94U0400010
451,US94U0400006
452,US94U0400005
453,US-94U-04-00007
454,uscgh1605634
455,US94U0400003
456,uscgh1675658
457,USTB10500020
458,USBB40802018
459,USBB40802018
460,usdy41632869
461,USHM91625892
462,USEP40821113
463,USEP40821113
464,USEP40821113
465,USEP40821113
466,uscgh1605633
467,FR47Q0200550
468,USCJ80600120
469,FR47Q0200550
470,GBUM71500527
471,ushm21549292
472,USTB10500020
473,ushm81531154
474,ushm81531161
475,usdy41697175
476,USEP40821113
477,USHM81450177
478,ushm81484247
479,uscgj1688708
480,QMXPS1100025
481,QMAAK1732405
482,ushm91465577
483,uscgh0785368
484,uscgh0785367
485,USHM81631226
486,uscgh1605635
487,uscgh1605636
488,QMGQ81500008
489,uscgh1667124
490,ushm81545974
491,QMGQ81500011
492,Deae61101105
493,usdy41697177
494,uscgh1629428
495,CAYOU1500002
496,ushm21549301
497,uscgh0785361
498,QM9AA1526661
499,uscgh1617689
500,uscgh1629429
501,uscgh1629430
502,uscgh1617687
503,uscgj1639339
504,uscgh1627484
505,QMAAK1624154
506,uscgj1615297
507,uscgj1615245
508,ushm81531158
509,ushm81564650
510,ushm81534674
511,uscgj1663756
512,uscgj1615246
513,uscgj1636097
514,uscgj1663757
515,GBCQV8900120
516,uscgh1629431
517,QMAAK1624155
518,QMAAK1635116
519,USHM81611470
520,uscgj1688709
521,ushm21346269
522,ushm81531157
523,uscgh1629432
524,QM9AA1568220
525,ushm21543199
526,USQY51117190
527,uscgh1617688
528,QMAAK1635111
529,ZA-F47-14-00007
530,uscgh1639671
531,USDBB0682041
532,USDBB0682041
533,USDBB0682041
534,USDBB0682041
535,USDBB0682041
536,USDBB0682041
537,USDBB0682041
538,USDBB0682041
539,USDBB0682041
540,ushm81576560
541,usdy41697180
542,usdy41697178
543,USA371096376
544,uscgh1630567
545,uscgh1630568
546,uscgh1630569
547,CAYOU1500005
548,USA561028786
549,QMGQ81500009
550,QMGQ81500010
551,uscgh1667125
552,ushm81531162
553,QM9AA1526662
554,US85C1223153
555,USHM81631227
556,USA371090208
557,QMAAK1732406
558,uscgh1617690
559,USHM81634192
560,USA561014934
561,USA371091187
562,USATV1501038
563,USA371069876
564,USVMW1500002
565,USI4R1122045
566,USI4R1122045
567,USAL51020194
568,USHM81610349
569,QMAAK1635114
570,USI4R1122045
571,USAL51020196
572,USRZR1023406
573,USQY51115444
574,ushm81514200
575,ushm81514201
576,ushm81514202
577,QMBZ91311237
578,QMDA71364502
579,USA561248504
580,uscgh1667127
581,uscgh1630571
582,uscgh1629438
583,uscgj1615286
584,USA561372960
585,uscgj1688712
586,QM9A91514557
587,uscgh1627677
588,uscgh1630572
589,usx9p1319334
590,usdy41575959
591,uscgh1627678
592,ushm81514203
593,ushm81561366
594,uscgh1627679
595,GBKPL1512068
596,uscgh1639672
597,uscgh1311246
598,uscgh1627676
599,USHM81347375
600,QMGQ81500012
601,QM9AA1526663
602,QMAAK1624156
603,QMAAK1624157
604,USCM51400391
605,uscgh1617691
606,ushm90954327
607,DEAS91100100
608,USHM81450179
609,QM9AA1568214
610,ushm21543189
611,TCABN1383792
612,USHM21694281
613,ushm81514204
614,ushm81514205
615,USHM91625893
616,uscgh1667128
617,uscgh1627681
618,uscgh1630578
619,uscgj1639340
620,usdy41697184
621,GBJSS1133218
622,uscgh1630579
623,uscgh1630580
